<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.02.24 17:30:00 0.71252 0.71267 0.70945 0.70953 4222 0 1
2022.02.24 18:00:00 0.70954 0.71357 0.70949 0.71310 5548 0 1
2022.02.24 18:30:00 0.71311 0.71360 0.71189 0.71314 3117 0 1
2022.02.24 19:00:00 0.71313 0.71380 0.71246 0.71375 2415 0 1
2022.02.24 19:30:00 0.71375 0.71455 0.71355 0.71399 2877 0 1
2022.02.24 20:00:00 0.71398 0.71465 0.71352 0.71366 2504 0 1
2022.02.24 20:30:00 0.71366 0.71599 0.71362 0.71528 4558 0 1
2022.02.24 21:00:00 0.71526 0.71578 0.71458 0.71505 4891 0 1
2022.02.24 21:30:00 0.71502 0.71713 0.71488 0.71573 4469 0 1
2022.02.24 22:00:00 0.71574 0.71727 0.71568 0.71636 3352 0 1
2022.02.24 22:30:00 0.71634 0.71782 0.71632 0.71745 3201 0 1
2022.02.24 23:00:00 0.71745 0.71751 0.71630 0.71660 1203 0 1
2022.02.24 23:30:00 0.71661 0.71690 0.71606 0.71624 519 0 9
2022.02.25 00:00:00 0.71621 0.71644 0.71596 0.71624 151 0 15
2022.02.25 00:30:00 0.71626 0.71711 0.71605 0.71615 355 0 11
2022.02.25 01:00:00 0.71615 0.71694 0.71611 0.71629 847 0 11
2022.02.25 01:30:00 0.71628 0.71654 0.71590 0.71596 429 0 9
2022.02.25 02:00:00 0.71596 0.71766 0.71595 0.71755 1530 0 2
2022.02.25 02:30:00 0.71756 0.71790 0.71396 0.71562 2369 0 2
2022.02.25 03:00:00 0.71564 0.71658 0.71528 0.71634 3612 0 2
2022.02.25 03:30:00 0.71634 0.71730 0.71574 0.71727 3744 0 2
2022.02.25 04:00:00 0.71725 0.71747 0.71660 0.71747 1942 0 2
2022.02.25 04:30:00 0.71746 0.71762 0.71682 0.71741 1909 0 2
2022.02.25 05:00:00 0.71741 0.71793 0.71706 0.71774 1407 0 2
2022.02.25 05:30:00 0.71774 0.71848 0.71733 0.71848 1561 0 2
2022.02.25 06:00:00 0.71849 0.71959 0.71822 0.71959 1299 0 2
2022.02.25 06:30:00 0.71959 0.71993 0.71873 0.71989 1909 0 2
2022.02.25 07:00:00 0.71986 0.72036 0.71928 0.71943 2657 0 1
