<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.04.22 19:30:00 1.37127 1.37163 1.37036 1.37038 1873 0 3
2022.04.22 20:00:00 1.37037 1.37177 1.37031 1.37056 1780 0 4
2022.04.22 20:30:00 1.37056 1.37185 1.37055 1.37138 2005 0 0
2022.04.22 21:00:00 1.37137 1.37200 1.37096 1.37143 1655 0 2
2022.04.22 21:30:00 1.37145 1.37278 1.37121 1.37211 1917 0 4
2022.04.22 22:00:00 1.37209 1.37318 1.37165 1.37195 2684 0 1
2022.04.22 22:30:00 1.37193 1.37326 1.37122 1.37308 2183 0 4
2022.04.22 23:00:00 1.37308 1.37333 1.37267 1.37305 1287 0 12
2022.04.22 23:30:00 1.37305 1.37323 1.37219 1.37319 603 0 20
2022.04.25 00:00:00 1.37450 1.37493 1.37252 1.37328 437 0 67
2022.04.25 00:30:00 1.37294 1.37347 1.37247 1.37304 341 0 52
2022.04.25 01:00:00 1.37300 1.37462 1.37264 1.37326 1595 0 19
2022.04.25 01:30:00 1.37326 1.37501 1.37306 1.37416 1524 0 19
2022.04.25 02:00:00 1.37415 1.37515 1.37412 1.37484 1557 0 6
2022.04.25 02:30:00 1.37483 1.37544 1.37457 1.37528 1303 0 6
2022.04.25 03:00:00 1.37527 1.37599 1.37456 1.37499 2031 0 6
2022.04.25 03:30:00 1.37499 1.37536 1.37453 1.37477 1997 0 4
2022.04.25 04:00:00 1.37477 1.37554 1.37419 1.37491 1674 0 5
2022.04.25 04:30:00 1.37492 1.37494 1.37359 1.37386 1965 0 5
2022.04.25 05:00:00 1.37386 1.37406 1.37309 1.37321 1471 0 4
2022.04.25 05:30:00 1.37321 1.37350 1.37273 1.37317 1854 0 3
2022.04.25 06:00:00 1.37317 1.37349 1.37301 1.37322 2043 0 4
2022.04.25 06:30:00 1.37322 1.37327 1.37234 1.37264 884 0 8
2022.04.25 07:00:00 1.37264 1.37360 1.37257 1.37305 1138 0 1
2022.04.25 07:30:00 1.37304 1.37320 1.37189 1.37207 1575 0 9
2022.04.25 08:00:00 1.37206 1.37242 1.37135 1.37192 1633 0 7
2022.04.25 08:30:00 1.37191 1.37252 1.37138 1.37222 2534 0 7
2022.04.25 09:00:00 1.37224 1.37257 1.36684 1.36738 5139 0 5
